epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4706.37,1.54131,1.74438,1.8681,0.72781,0.63152,0.70213,0.38909,1.56151,1.52831,1.86715,0.000900343,0.000900343,0.000900343
43,4818.18,1.54394,1.77808,1.87191,0.71082,0.64019,0.6971,0.4043,1.51367,1.50388,1.84417,0.000895602,0.000895602,0.000895602
44,4930.44,1.53717,1.73585,1.86886,0.74304,0.62116,0.7038,0.38191,1.57639,1.5137,1.88552,0.000890764,0.000890764,0.000890764
45,5040.9,1.53225,1.72991,1.86464,0.72798,0.63015,0.70858,0.39849,1.52362,1.43259,1.83027,0.00088583,0.00088583,0.00088583
46,5152.33,1.55589,1.75318,1.88464,0.73367,0.63395,0.71122,0.40443,1.52345,1.52635,1.83394,0.000880802,0.000880802,0.000880802
47,5264.43,1.5276,1.72727,1.85283,0.75255,0.61335,0.7019,0.40499,1.52016,1.46347,1.83124,0.00087568,0.00087568,0.00087568
48,5375.12,1.53114,1.73113,1.87232,0.73324,0.63191,0.71045,0.40128,1.53705,1.46076,1.86424,0.000870466,0.000870466,0.000870466
49,5486.54,1.52948,1.70963,1.86766,0.71413,0.64952,0.70726,0.39161,1.5427,1.47331,1.87024,0.000865162,0.000865162,0.000865162
50,5598.52,1.52168,1.71049,1.85537,0.74452,0.61736,0.70784,0.39379,1.5537,1.51682,1.85564,0.000859768,0.000859768,0.000859768
51,5709.36,1.52256,1.69995,1.85542,0.74628,0.62567,0.70929,0.4006,1.5384,1.459,1.84968,0.000854286,0.000854286,0.000854286
52,5820.26,1.51605,1.68512,1.84741,0.74609,0.63136,0.70838,0.40071,1.504,1.44646,1.81105,0.000848717,0.000848717,0.000848717
53,5932.39,1.51686,1.66327,1.8446,0.74447,0.65035,0.72363,0.40769,1.52166,1.57855,1.83804,0.000843062,0.000843062,0.000843062
54,6043.78,1.49595,1.66059,1.83783,0.75066,0.63142,0.71164,0.40894,1.51067,1.41336,1.81968,0.000837324,0.000837324,0.000837324
55,6154.97,1.50784,1.63761,1.83691,0.76214,0.63944,0.7211,0.41175,1.52314,1.40984,1.85061,0.000831503,0.000831503,0.000831503
56,6266.61,1.49438,1.62264,1.82087,0.76798,0.65051,0.73559,0.4154,1.51817,1.40489,1.83054,0.0008256,0.0008256,0.0008256
57,6378.38,1.50595,1.64979,1.83163,0.77032,0.63235,0.71757,0.40998,1.51279,1.46797,1.83544,0.000819618,0.000819618,0.000819618
58,6489,1.51335,1.67424,1.84219,0.76656,0.64121,0.72395,0.41116,1.51014,1.36581,1.81988,0.000813558,0.000813558,0.000813558
59,6600.52,1.49388,1.63686,1.82826,0.72441,0.66051,0.72409,0.41174,1.52838,1.41263,1.8383,0.000807421,0.000807421,0.000807421
60,6712.74,1.50339,1.66158,1.83221,0.73241,0.65505,0.71947,0.41454,1.49463,1.39374,1.80228,0.000801209,0.000801209,0.000801209
61,6823.7,1.48777,1.61896,1.81869,0.75097,0.6542,0.7258,0.41659,1.49197,1.45674,1.80812,0.000794923,0.000794923,0.000794923
62,6935.35,1.48738,1.59804,1.82093,0.76479,0.64571,0.73173,0.4302,1.47518,1.40786,1.79181,0.000788565,0.000788565,0.000788565
63,7047.52,1.49293,1.63018,1.82276,0.74952,0.64638,0.7254,0.41768,1.50884,1.39272,1.81368,0.000782136,0.000782136,0.000782136
64,7158.43,1.47871,1.60281,1.81061,0.74368,0.66784,0.73621,0.42581,1.49941,1.29644,1.80642,0.000775639,0.000775639,0.000775639
65,7269.67,1.49294,1.6012,1.83145,0.76171,0.65495,0.73399,0.42353,1.49395,1.32973,1.81574,0.000769074,0.000769074,0.000769074
66,7382.04,1.47909,1.61015,1.8156,0.762,0.65321,0.73132,0.41889,1.51605,1.35789,1.81866,0.000762443,0.000762443,0.000762443
67,7492.98,1.47737,1.59309,1.81293,0.76592,0.65919,0.74205,0.42833,1.5043,1.36743,1.80169,0.000755748,0.000755748,0.000755748
68,7604.13,1.48206,1.59755,1.80998,0.77195,0.66665,0.73686,0.42518,1.50775,1.32639,1.80112,0.000748991,0.000748991,0.000748991
69,7716.01,1.46507,1.59766,1.80498,0.76824,0.6494,0.73368,0.42665,1.48904,1.31618,1.80125,0.000742172,0.000742172,0.000742172
70,7828.38,1.45877,1.57979,1.80308,0.7766,0.66744,0.74854,0.44006,1.46748,1.30136,1.75896,0.000735295,0.000735295,0.000735295
71,7939.05,1.46915,1.56937,1.80244,0.79242,0.64353,0.74221,0.42943,1.49641,1.39962,1.80251,0.00072836,0.00072836,0.00072836
72,8050.74,1.45779,1.54277,1.78737,0.76348,0.66808,0.75163,0.43463,1.48984,1.33515,1.7806,0.00072137,0.00072137,0.00072137
73,8163.08,1.44959,1.54088,1.78959,0.77341,0.66591,0.748,0.43499,1.49031,1.31231,1.79559,0.000714325,0.000714325,0.000714325
74,8273.59,1.46402,1.5827,1.80122,0.76608,0.66841,0.74979,0.44099,1.47471,1.28139,1.78603,0.000707228,0.000707228,0.000707228
75,8384.77,1.4579,1.56225,1.79673,0.77599,0.66601,0.75196,0.43977,1.47686,1.29151,1.76263,0.000700081,0.000700081,0.000700081
76,8496.75,1.45781,1.55191,1.7916,0.78924,0.65222,0.74962,0.44109,1.47696,1.27125,1.78152,0.000692885,0.000692885,0.000692885
77,8607.77,1.46267,1.55007,1.79307,0.77282,0.6759,0.75362,0.44603,1.46363,1.3864,1.76564,0.000685642,0.000685642,0.000685642
78,8718.78,1.47059,1.55253,1.80203,0.76953,0.66723,0.75308,0.43508,1.49078,1.35383,1.79708,0.000678354,0.000678354,0.000678354
79,8831.17,1.44285,1.51987,1.77951,0.78229,0.66203,0.75079,0.44857,1.4609,1.31838,1.77305,0.000671022,0.000671022,0.000671022
80,8942.33,1.4538,1.5335,1.78772,0.77222,0.67081,0.75572,0.44835,1.4686,1.2949,1.76108,0.000663649,0.000663649,0.000663649
81,9053.46,1.44058,1.52212,1.79105,0.79046,0.67229,0.76139,0.44672,1.47292,1.25162,1.76584,0.000656236,0.000656236,0.000656236
82,9165.29,1.4525,1.52873,1.78268,0.76966,0.68184,0.75452,0.43534,1.49967,1.271,1.79401,0.000648785,0.000648785,0.000648785
83,9276.56,1.44625,1.51146,1.78066,0.79261,0.65748,0.75361,0.44227,1.48888,1.23068,1.7884,0.000641298,0.000641298,0.000641298
84,9387.37,1.44833,1.51896,1.77638,0.79275,0.67448,0.76408,0.45317,1.47396,1.23432,1.78728,0.000633777,0.000633777,0.000633777
85,9498.71,1.43542,1.50108,1.76736,0.77238,0.68559,0.76212,0.44852,1.48479,1.23788,1.78698,0.000626223,0.000626223,0.000626223
86,9610.41,1.43736,1.52141,1.77761,0.76616,0.68495,0.75685,0.4488,1.4833,1.24838,1.77629,0.000618639,0.000618639,0.000618639
87,9720.96,1.4296,1.49137,1.75913,0.78027,0.67154,0.75633,0.44931,1.4765,1.21163,1.76775,0.000611026,0.000611026,0.000611026
88,9832.1,1.44122,1.49043,1.7685,0.77318,0.67272,0.75997,0.45269,1.4768,1.30822,1.78221,0.000603387,0.000603387,0.000603387
89,9944.1,1.43604,1.51025,1.76824,0.77707,0.67867,0.76304,0.45374,1.46568,1.22962,1.76239,0.000595722,0.000595722,0.000595722
90,10054.7,1.43196,1.47833,1.76088,0.77291,0.68464,0.76599,0.4583,1.46087,1.22713,1.75592,0.000588035,0.000588035,0.000588035
91,10165.5,1.42398,1.49151,1.75715,0.78113,0.67347,0.76436,0.44908,1.47924,1.22582,1.77674,0.000580326,0.000580326,0.000580326
92,10277.3,1.42645,1.49603,1.75917,0.79418,0.67596,0.76368,0.45703,1.45957,1.2756,1.7573,0.000572598,0.000572598,0.000572598
93,10388,1.43249,1.48772,1.76607,0.79964,0.68222,0.771,0.46041,1.47098,1.3277,1.76303,0.000564853,0.000564853,0.000564853
94,10498.9,1.41834,1.46155,1.75089,0.77974,0.68506,0.76838,0.45631,1.46524,1.26386,1.77345,0.000557093,0.000557093,0.000557093
95,10610.6,1.41952,1.46845,1.76583,0.78878,0.68494,0.76795,0.46391,1.44953,1.20388,1.74951,0.000549319,0.000549319,0.000549319
96,10721.5,1.42222,1.4722,1.7486,0.79744,0.67153,0.77006,0.4639,1.44396,1.214,1.74444,0.000541533,0.000541533,0.000541533
97,10832,1.42437,1.46485,1.75153,0.78299,0.68472,0.76981,0.46301,1.44707,1.21804,1.74928,0.000533738,0.000533738,0.000533738
98,10943.6,1.4008,1.41835,1.7278,0.81048,0.66498,0.76918,0.45907,1.45863,1.21508,1.76079,0.000525935,0.000525935,0.000525935
99,11055.7,1.40996,1.46229,1.75339,0.78485,0.67595,0.77231,0.46049,1.4593,1.24664,1.76465,0.000518127,0.000518127,0.000518127
100,11165.7,1.41725,1.4351,1.7433,0.78258,0.68486,0.77158,0.46315,1.4563,1.25809,1.76369,0.000510314,0.000510314,0.000510314
101,11276.9,1.41099,1.44467,1.73916,0.79681,0.6853,0.77579,0.46594,1.44798,1.24007,1.75006,0.0005025,0.0005025,0.0005025
